采集日期,日报截屏上送时长（小时）,原始上送时长（小时）,原始上送时长（分钟）,运营端不合格时长（小时）,运营端不合格时长（分钟）,不合格时长占比,数据记录差异,设备ID,采集点,采集点对接人
2025-11-13,8.0,8.05,483.3,1.78,107.05,22.11%,0.05,8f4a,遇见个超市,贺子豪
2025-11-13,1.18,0.0,,,,,-1.18,c0e4,丰县,江伊潭
2025-11-13,0.0,0.04,2.1,0.04,2.1,100.0%,0.04,d70d,,
2025-11-13,6.0,6.05,363.2,0.38,22.75,6.28%,0.05,d94e,希利,罗圣峰
2025-11-13,0.25,0.0,,,,,-0.25,e5fb,丰县,江伊潭
2025-11-13,6.0,6.13,367.7,0.27,16.2,4.4%,0.13,e84e,希利,罗圣峰
2025-11-14,4.25,4.31,258.4,0.97,58.4,22.51%,0.06,0fe4,武汉,贺子豪
2025-11-14,0.0,1.49,89.3,0.01,0.4,0.67%,1.49,17fd,,
2025-11-14,6.25,6.1,366.2,0.26,15.65,4.26%,-0.15,3a7e,希利,罗圣峰
2025-11-14,6.25,0.0,,,,,-6.25,4ad7,希利,罗圣峰
2025-11-14,8.0,8.19,491.5,2.54,152.45,31.01%,0.19,4e97,东莞,贺子豪
2025-11-14,8.0,11.38,682.7,0.29,17.5,2.55%,3.38,4f46,东莞,贺子豪
2025-11-14,8.0,8.03,481.8,1.26,75.5,15.69%,0.03,57ff,遇见个超市,贺子豪
2025-11-14,0.0,5.0,300.2,0.0,0.0,0.0%,5.0,7cf6,,
2025-11-14,8.0,8.06,483.4,2.03,121.9,25.19%,0.06,8f4a,遇见个超市,贺子豪
2025-11-14,1.0,1.55,92.8,0.01,0.6,0.65%,0.55,c0e4,丰县,江伊潭
2025-11-14,6.25,6.32,379.3,0.12,7.2,1.9%,0.07,c6c1,希利,罗圣峰
2025-11-14,6.25,6.17,369.9,0.86,51.7,13.94%,-0.08,d94e,希利,罗圣峰
2025-11-14,0.0,3.2,192.3,0.04,2.3,1.25%,3.2,e5cb,,
2025-11-14,1.0,0.84,50.2,0.06,3.75,7.14%,-0.16,e5fb,丰县,江伊潭
2025-11-15,3.93,3.35,201.1,0.65,38.75,19.4%,-0.58,17fd,丰县,江伊潭
2025-11-15,6.5,6.38,382.6,0.1,6.0,1.57%,-0.12,3a7e,希利,罗圣峰
2025-11-15,8.0,4.09,245.2,0.11,6.75,2.69%,-3.91,4e97,东莞,贺子豪
2025-11-15,8.0,3.85,231.2,0.6,36.25,15.58%,-4.15,4f46,东莞,贺子豪
2025-11-15,0.0,1.5,90.1,1.5,90.1,100.0%,1.5,4fcf,,
2025-11-15,8.0,8.02,481.2,1.58,94.75,19.7%,0.02,57ff,遇见个超市,贺子豪
2025-11-15,0.0,3.27,196.2,2.08,125.0,63.61%,3.27,6790,,
2025-11-15,8.0,7.69,461.4,1.62,97.0,21.07%,-0.31,8f4a,遇见个超市,贺子豪
2025-11-15,1.0,1.63,97.8,0.01,0.5,0.61%,0.63,c0e4,丰县,江伊潭
2025-11-15,3.34,2.8,168.2,0.0,0.0,0.0%,-0.54,e5fb,丰县,江伊潭
2025-11-16,0.0,1.06,63.6,1.04,62.6,98.11%,1.06,0fe4,,
2025-11-16,0.0,1.05,62.8,0.0,0.0,0.0%,1.05,17fd,,
2025-11-16,0.0,4.06,243.7,0.04,2.25,0.99%,4.06,4e97,,
2025-11-16,0.0,4.02,241.3,0.3,18.3,7.46%,4.02,4f46,,
2025-11-16,8.0,8.07,484.3,2.07,124.1,25.65%,0.07,57ff,遇见个超市,贺子豪
2025-11-16,8.0,11.19,671.2,3.38,202.83,30.21%,3.19,8f4a,遇见个超市,贺子豪
2025-11-16,0.0,1.7,102.0,0.42,25.2,24.71%,1.7,e5fb,,
2025-11-16,0.0,0.97,58.4,0.33,20.0,34.02%,0.97,f061,,
2025-11-17,2.0,1.0,59.9,0.33,20.0,33.0%,-1.0,0fe4,武汉,贺子豪
2025-11-17,3.5,2.27,136.2,0.57,34.25,25.11%,-1.23,17fd,丰县,江伊潭
2025-11-17,6.25,6.13,367.6,0.09,5.25,1.47%,-0.12,3a7e,希利,罗圣峰
2025-11-17,0.0,7.32,439.1,6.62,397.1,90.44%,7.32,4813,,
2025-11-17,6.25,8.41,504.6,1.5,89.85,17.84%,2.16,4ad7,希利,罗圣峰
2025-11-17,8.0,4.73,283.7,1.08,65.0,22.83%,-3.27,4e97,东莞,贺子豪
2025-11-17,8.0,8.12,487.1,0.25,14.75,3.08%,0.12,4f46,东莞,贺子豪
2025-11-17,8.0,8.12,487.1,1.53,91.55,18.84%,0.12,57ff,遇见个超市,贺子豪
2025-11-17,0.0,0.01,0.3,0.01,0.3,100.0%,0.01,6790,,
2025-11-17,0.0,0.74,44.5,0.22,13.0,29.73%,0.74,821e,,
2025-11-17,8.0,4.91,294.8,0.85,50.8,17.31%,-3.09,8f4a,遇见个超市,贺子豪
2025-11-17,2.4,2.31,138.8,0.02,1.0,0.87%,-0.09,c0e4,丰县,江伊潭
2025-11-17,6.25,5.31,318.9,0.24,14.6,4.52%,-0.94,c6c1,希利,罗圣峰
