原始日期,原始设备ID,标准日期,标准设备ID,来源表,需要检查
2025/12/8,4e97,2025-12-08,4e97,表1,True
2025/12/8,0fe4,2025-12-08,0fe4,表1,True
2025/12/9,4f46,2025-12-09,4f46,表1,True
2025/12/9,4e97,2025-12-09,4e97,表1,True
2025/12/10,4f46,2025-12-10,4f46,表1,True
2025/12/10,4e97,2025-12-10,4e97,表1,True
2025/12/17,4b9b,2025-12-17,4b9b,表1,True
2025/12/18,4b9b,2025-12-18,4b9b,表1,True
2025/12/19,4b9b,2025-12-19,4b9b,表1,True
2025/12/20,4b9b,2025-12-20,4b9b,表1,True
2025/12/22,3c98,2025-12-22,3c98,表1,True
2025/12/22,9d10,2025-12-22,9d10,表1,True
2025/10/29,7cf6,2025-10-29,7cf6,表1,True
2025/10/29,d94e,2025-10-29,d94e,表1,True
2025/10/29,2ed0,2025-10-29,2ed0,表1,True
2025/10/30,7cf6,2025-10-30,7cf6,表1,True
2025/10/30,d94e,2025-10-30,d94e,表1,True
2025/10/30,2ed0,2025-10-30,2ed0,表1,True
2025/10/31,7cf6,2025-10-31,7cf6,表1,True
2025/10/31,d94e,2025-10-31,d94e,表1,True
2025/10/31,2ed0,2025-10-31,2ed0,表1,True
2025/11/1,7cf6,2025-11-01,7cf6,表1,True
2025/11/1,d94e,2025-11-01,d94e,表1,True
2025/11/1,2ed0,2025-11-01,2ed0,表1,True
2025/11/3,7cf6,2025-11-03,7cf6,表1,True
2025/11/3,d94e,2025-11-03,d94e,表1,True
2025/11/3,2ed0,2025-11-03,2ed0,表1,True
2025/11/4,7cf6,2025-11-04,7cf6,表1,True
2025/11/4,d94e,2025-11-04,d94e,表1,True
2025/11/4,2ed0,2025-11-04,2ed0,表1,True
2025/11/5,7cf6,2025-11-05,7cf6,表1,True
2025/11/5,d94e,2025-11-05,d94e,表1,True
2025/11/5,2ed0,2025-11-05,2ed0,表1,True
2025/11/6,7cf6,2025-11-06,7cf6,表1,True
2025/11/6,d94e,2025-11-06,d94e,表1,True
2025/11/6,2ed0,2025-11-06,2ed0,表1,True
2025/11/7,7cf6,2025-11-07,7cf6,表1,True
2025/11/7,d94e,2025-11-07,d94e,表1,True
2025/11/7,2ed0,2025-11-07,2ed0,表1,True
2025/11/10,7cf6,2025-11-10,7cf6,表1,True
2025/11/10,d94e,2025-11-10,d94e,表1,True
2025/11/10,2ed0,2025-11-10,2ed0,表1,True
2025/11/11,7cf6,2025-11-11,7cf6,表1,True
2025/11/11,d94e,2025-11-11,d94e,表1,True
2025/11/11,2ed0,2025-11-11,2ed0,表1,True
2025/11/11,e84e,2025-11-11,e84e,表1,True
2025/11/11,4ad7,2025-11-11,4ad7,表1,True
2025/11/12,7cf6,2025-11-12,7cf6,表1,True
2025/11/12,d94e,2025-11-12,d94e,表1,True
2025/11/12,2ed0,2025-11-12,2ed0,表1,True
2025/11/12,e84e,2025-11-12,e84e,表1,True
2025/11/12,4ad7,2025-11-12,4ad7,表1,True
2025/11/13,7cf6,2025-11-13,7cf6,表1,True
2025/11/13,d94e,2025-11-13,d94e,表1,True
2025/11/13,2ed0,2025-11-13,2ed0,表1,True
2025/11/13,e84e,2025-11-13,e84e,表1,True
2025/11/13,4ad7,2025-11-13,4ad7,表1,True
2025/11/14,c6c1,2025-11-14,c6c1,表1,True
2025/11/14,3a7e,2025-11-14,3a7e,表1,True
2025/11/14,d94e,2025-11-14,d94e,表1,True
2025/11/14,4ad7,2025-11-14,4ad7,表1,True
2025/11/15,3a7e,2025-11-15,3a7e,表1,True
2025/11/17,3a7e,2025-11-17,3a7e,表1,True
2025/11/17,4ad7,2025-11-17,4ad7,表1,True
2025/11/17,d94e,2025-11-17,d94e,表1,True
2025/11/17,e5cb,2025-11-17,e5cb,表1,True
2025/11/17,c6c1,2025-11-17,c6c1,表1,True
2025/11/18,3a7e,2025-11-18,3a7e,表1,True
2025/11/18,4ad7,2025-11-18,4ad7,表1,True
2025/11/18,d94e,2025-11-18,d94e,表1,True
2025/11/18,e5cb,2025-11-18,e5cb,表1,True
2025/11/18,c6c1,2025-11-18,c6c1,表1,True
2025/11/19,3a7e,2025-11-19,3a7e,表1,True
2025/11/19,4ad7,2025-11-19,4ad7,表1,True
2025/11/19,d94e,2025-11-19,d94e,表1,True
2025/11/19,e5cb,2025-11-19,e5cb,表1,True
2025/11/19,c6c1,2025-11-19,c6c1,表1,True
2025/11/20,3a7e,2025-11-20,3a7e,表1,True
2025/11/20,d94e,2025-11-20,d94e,表1,True
2025/11/20,e5cb,2025-11-20,e5cb,表1,True
2025/11/20,c6c1,2025-11-20,c6c1,表1,True
2025/11/20,4813,2025-11-20,4813,表1,True
2025/11/20,8dfb,2025-11-20,8dfb,表1,True
2025/11/20,4ad7,2025-11-20,4ad7,表1,True
2025/11/21,3a7e,2025-11-21,3a7e,表1,True
2025/11/21,d94e,2025-11-21,d94e,表1,True
2025/11/21,e5cb,2025-11-21,e5cb,表1,True
2025/11/21,c6c1,2025-11-21,c6c1,表1,True
2025/11/21,4ad7,2025-11-21,4ad7,表1,True
2025/11/21,,2025-11-21,,表1,True
2025/11/24,3a7e,2025-11-24,3a7e,表1,True
2025/11/24,d94e,2025-11-24,d94e,表1,True
2025/11/24,e5cb,2025-11-24,e5cb,表1,True
2025/11/24,c6c1,2025-11-24,c6c1,表1,True
2025/11/24,4ad7,2025-11-24,4ad7,表1,True
2025/11/24,4813,2025-11-24,4813,表1,True
2025/11/24,8dfb,2025-11-24,8dfb,表1,True
2025/11/25,3a7e,2025-11-25,3a7e,表1,True
2025/11/25,d94e,2025-11-25,d94e,表1,True
2025/11/25,e5cb,2025-11-25,e5cb,表1,True
2025/11/25,c6c1,2025-11-25,c6c1,表1,True
2025/11/25,4ad7,2025-11-25,4ad7,表1,True
2025/11/26,3a7e,2025-11-26,3a7e,表1,True
2025/11/26,d94e,2025-11-26,d94e,表1,True
2025/11/26,e5cb,2025-11-26,e5cb,表1,True
2025/11/26,c6c1,2025-11-26,c6c1,表1,True
2025/11/26,4ad7,2025-11-26,4ad7,表1,True
2025/11/27,3a7e,2025-11-27,3a7e,表1,True
2025/11/27,d94e,2025-11-27,d94e,表1,True
2025/11/27,e5cb,2025-11-27,e5cb,表1,True
2025/11/27,c6c1,2025-11-27,c6c1,表1,True
2025/11/27,4ad7,2025-11-27,4ad7,表1,True
2025/11/28,3a7e,2025-11-28,3a7e,表1,True
2025/11/28,d94e,2025-11-28,d94e,表1,True
2025/11/28,e5cb,2025-11-28,e5cb,表1,True
2025/11/28,c6c1,2025-11-28,c6c1,表1,True
2025/11/28,4ad7,2025-11-28,4ad7,表1,True
2025/11/29,4813,2025-11-29,4813,表1,True
2025/11/29,8dfb,2025-11-29,8dfb,表1,True
2025/11/30,4813,2025-11-30,4813,表1,True
2025/11/30,8dfb,2025-11-30,8dfb,表1,True
2025/12/1,3a7e,2025-12-01,3a7e,表1,True
2025/12/1,d94e,2025-12-01,d94e,表1,True
